"artist","firstName","gender","itemInSession","lastName","length","level","location","sessionId","song","userId"
"Kaddisfly","Jacob","M","47","Klein","275.27791","paid","Tampa-St. Petersburg-Clearwater, FL","692","harbor","73"
"Revolver","Jacob","M","48","Klein","318.87628","paid","Tampa-St. Petersburg-Clearwater, FL","692","El mismo hombre","73"
"Bag Raiders","Chloe","F","8","Cuevas","232.85506","paid","San Francisco-Oakland-Hayward, CA","849","Shooting Stars","49"
"Dave Brockie Experience","Jacob","M","49","Klein","116.08771","paid","Tampa-St. Petersburg-Clearwater, FL","692","Servant Of Death's Head","73"
"Garbage","Chloe","F","9","Cuevas","255.58159","paid","San Francisco-Oakland-Hayward, CA","849","Can't Cry These Tears","49"
"Ry Cooder","Chloe","F","10","Cuevas","223.97342","paid","San Francisco-Oakland-Hayward, CA","849","Stand By Me (LP Version)","49"
"Arctic Monkeys","Chloe","F","11","Cuevas","177.94567","paid","San Francisco-Oakland-Hayward, CA","849","Fake Tales Of San Francisco","49"
"BjÃÂ¶rk","Chloe","F","12","Cuevas","348.57751","paid","San Francisco-Oakland-Hayward, CA","849","Undo","49"
"La Vela Puerca","Chloe","F","13","Cuevas","183.19628","paid","San Francisco-Oakland-Hayward, CA","849","La Sin RazÃÂ³n","49"
"Joshua Radin","Chloe","F","14","Cuevas","202.44853","paid","San Francisco-Oakland-Hayward, CA","849","No Envy No Fear","49"
"Bowling For Soup","Chloe","F","15","Cuevas","188.31628","paid","San Francisco-Oakland-Hayward, CA","849","Punk Rock 101","49"
"Paramore","Chloe","F","16","Cuevas","267.65016","paid","San Francisco-Oakland-Hayward, CA","849","The Only Exception (Album Version)","49"
"Just Jack","Chloe","F","17","Cuevas","295.91465","paid","San Francisco-Oakland-Hayward, CA","849","Starz In Their Eyes","49"
"Imogen Heap","Chloe","F","19","Cuevas","509.36118","paid","San Francisco-Oakland-Hayward, CA","849","Hide & Seek","49"
"Ray LaMontagne","Chloe","F","20","Cuevas","276.87138","paid","San Francisco-Oakland-Hayward, CA","849","Shelter","49"
"Phil Wickham","Chloe","F","21","Cuevas","293.72036","paid","San Francisco-Oakland-Hayward, CA","849","You're Beautiful","49"
"Justin Timberlake duet with Beyonce","Chloe","F","22","Cuevas","322.16771","paid","San Francisco-Oakland-Hayward, CA","849","Until The End Of Time","49"
"Freeway","Tegan","F","1","Levine","22.12526","paid","Portland-South Portland, ME","910","The Nation","80"
"Air","Tegan","F","2","Levine","212.21832","paid","Portland-South Portland, ME","910","Playground Love","80"
"HervÃÂ© & Kissy Sellout","Chloe","F","23","Cuevas","341.41995","paid","San Francisco-Oakland-Hayward, CA","849","Rikkalicious ","49"
"OV7","Tegan","F","3","Levine","222.79791","paid","Portland-South Portland, ME","910","Aum Aum","80"
"Aerosmith","Tegan","F","4","Levine","248.00608","paid","Portland-South Portland, ME","910","Rats In The Cellar","80"
"DeBarge","Chloe","F","24","Cuevas","234.03057","paid","San Francisco-Oakland-Hayward, CA","849","Rhythm Of The Night","49"
"Kevin Kern","Jacqueline","F","1","Lynch","291.29098","paid","Atlanta-Sandy Springs-Roswell, GA","898","From This Day Forward","29"
"Jane Wiedlin","Chloe","F","25","Cuevas","207.12444","paid","San Francisco-Oakland-Hayward, CA","849","Blue Kiss","49"
"Beck","Tegan","F","5","Levine","228.80608","paid","Portland-South Portland, ME","910","Lost Cause","80"
"Ana CaÃÂ±as","Jacqueline","F","2","Lynch","279.50975","paid","Atlanta-Sandy Springs-Roswell, GA","898","CoraÃÂ§ÃÂ£o Vagabundo","29"
"Lange","Chloe","F","26","Cuevas","305.84118","paid","San Francisco-Oakland-Hayward, CA","849","Red October","49"
"BeyoncÃÂ©","Tegan","F","6","Levine","271.82975","paid","Portland-South Portland, ME","910","Fever","80"
"Train","Jacqueline","F","3","Lynch","278.04689","paid","Atlanta-Sandy Springs-Roswell, GA","898","Ramble On","29"
"Spiritualized","Tegan","F","7","Levine","427.31057","paid","Portland-South Portland, ME","910","Baby I'm Just A Fool","80"
"System of a Down","Chloe","F","27","Cuevas","228.0224","paid","San Francisco-Oakland-Hayward, CA","849","Revenga","49"
"Lady GaGa","Jacqueline","F","4","Lynch","249.20771","paid","Atlanta-Sandy Springs-Roswell, GA","898","Monster","29"
"Weird Al Yankovic","Chloe","F","28","Cuevas","202.63138","paid","San Francisco-Oakland-Hayward, CA","849","Phony Calls (Parody of ""Waterfalls"" by TLC)","49"
"Edward Sharpe & The Magnetic Zeros","Jacqueline","F","5","Lynch","306.31138","paid","Atlanta-Sandy Springs-Roswell, GA","898","Home","29"
"Apocalyptica","Tegan","F","8","Levine","275.25179","paid","Portland-South Portland, ME","910","Deathzone","80"
"Anberlin","Chloe","F","29","Cuevas","204.32934","paid","San Francisco-Oakland-Hayward, CA","849","The Feel Good Drag","49"
"Skillet","Chloe","F","30","Cuevas","193.25342","paid","San Francisco-Oakland-Hayward, CA","849","Whispers In The Dark (Radio Edit)","49"
"Justin Bieber","Tegan","F","9","Levine","220.89098","paid","Portland-South Portland, ME","910","Somebody To Love","80"
"Furry Lewis","Jacqueline","F","6","Lynch","178.05016","paid","Atlanta-Sandy Springs-Roswell, GA","898","Kassie Jones (Casey Jones)","29"
"Modest Mouse","Chloe","F","31","Cuevas","243.17342","paid","San Francisco-Oakland-Hayward, CA","849","Heart Cooks Brain","49"
"Cake","Jacqueline","F","7","Lynch","181.36771","paid","Atlanta-Sandy Springs-Roswell, GA","898","Conroy","29"
"Eddie Boyd","Tegan","F","10","Levine","196.362","paid","Portland-South Portland, ME","910","Third Degree","80"
"Fergie","Jacqueline","F","8","Lynch","263.05261","paid","Atlanta-Sandy Springs-Roswell, GA","898","Voodoo Doll","29"
"Say Anything","Chloe","F","32","Cuevas","208.77016","paid","San Francisco-Oakland-Hayward, CA","849","Walk Through Hell (featuring Max Bemis Acoustic Exclusive)","49"
"Eastern Sun and John Kelley","Tegan","F","11","Levine","457.50812","paid","Portland-South Portland, ME","910","Rapture at Sea","80"
"Najee","Chloe","F","33","Cuevas","232.4371","paid","San Francisco-Oakland-Hayward, CA","849","I Wish","49"
"Andre Hazes","Jacqueline","F","9","Lynch","206.70649","paid","Atlanta-Sandy Springs-Roswell, GA","898","Droomland (duet met Paul de Leeuw)","29"
"3 Doors Down","Chloe","F","34","Cuevas","233.74322","paid","San Francisco-Oakland-Hayward, CA","849","Kryptonite","49"
"Ultra Vivid Scene","Jacqueline","F","10","Lynch","196.93669","paid","Atlanta-Sandy Springs-Roswell, GA","898","Nausea","29"
"Santigold","Jacqueline","F","11","Lynch","225.35791","paid","Atlanta-Sandy Springs-Roswell, GA","898","I'm A Lady [feat. Trouble Andrew]","29"
"Linkin Park","Chloe","F","35","Cuevas","494.99383","paid","San Francisco-Oakland-Hayward, CA","849","Bleed It Out [Live At Milton Keynes]","49"
"Arctic Monkeys","Jacqueline","F","12","Lynch","193.43628","paid","Atlanta-Sandy Springs-Roswell, GA","898","From The Ritz To The Rubble","29"
"Owl City","Jacqueline","F","13","Lynch","231.67955","paid","Atlanta-Sandy Springs-Roswell, GA","898","Vanilla Twilight","29"
"Frightened Rabbit","Chloe","F","36","Cuevas","327.20934","paid","San Francisco-Oakland-Hayward, CA","849","It's Christmas So We'll Stop","49"
"Charlie Louvin","Jacqueline","F","14","Lynch","170.86649","paid","Atlanta-Sandy Springs-Roswell, GA","898","I Think I'll Live","29"
"Usher Featuring Lil' Jon & Ludacris","Tegan","F","16","Levine","250.38322","paid","Portland-South Portland, ME","910","Yeah!","80"
"Erin McKeown","Jacqueline","F","15","Lynch","332.85179","paid","Atlanta-Sandy Springs-Roswell, GA","898","Monday Morning Cold (band)","29"
"3 Doors Down","Chloe","F","37","Cuevas","233.74322","paid","San Francisco-Oakland-Hayward, CA","849","Kryptonite","49"
"Koop","Tegan","F","17","Levine","247.562","paid","Portland-South Portland, ME","910","Once Britten","80"
"Buckcherry","Chloe","F","38","Cuevas","201.79546","paid","San Francisco-Oakland-Hayward, CA","849","Crazy Bitch (Album Version)","49"
"3 Doors Down","Jacqueline","F","16","Lynch","232.88118","paid","Atlanta-Sandy Springs-Roswell, GA","898","Citizen/Soldier","29"
"Justin Bieber","Tegan","F","18","Levine","220.89098","paid","Portland-South Portland, ME","910","Somebody To Love","80"
"Simone Cristicchi","Chloe","F","39","Cuevas","144.53506","paid","San Francisco-Oakland-Hayward, CA","849","Lettera Da Volterra","49"
"Train","Jacqueline","F","17","Lynch","205.45261","paid","Atlanta-Sandy Springs-Roswell, GA","898","Marry Me","29"
"Yerba Buena","Tegan","F","19","Levine","236.77342","paid","Portland-South Portland, ME","910","El Burrito","80"
"Juanes","Tegan","F","20","Levine","259.63057","paid","Portland-South Portland, ME","910","Amame","80"
"O'Rosko Raricim","Tegan","F","21","Levine","90.56608","paid","Portland-South Portland, ME","910","Terre Promise","80"
"Arctic Monkeys","Tegan","F","22","Levine","268.45995","paid","Portland-South Portland, ME","910","Perhaps Vampires Is A Bit Strong But...","80"
"RUN-DMC","Tegan","F","23","Levine","182.77832","paid","Portland-South Portland, ME","910","It's Tricky","80"
"Story Of The Year","Tegan","F","24","Levine","191.11138","paid","Portland-South Portland, ME","910","And The Hero Will Drown (Album Version)","80"
"Cat Stevens","Tegan","F","25","Levine","200.202","paid","Portland-South Portland, ME","910","Wild World","80"
"Arctic Monkeys","Tegan","F","26","Levine","177.84118","paid","Portland-South Portland, ME","910","Fake Tales Of San Francisco (Explicit)","80"
"Antonio Vega","Tegan","F","27","Levine","135.13098","paid","Portland-South Portland, ME","910","Sin SoluciÃÂ³n","80"
"Symphony X","Chloe","F","41","Cuevas","238.54975","paid","San Francisco-Oakland-Hayward, CA","849","In The Dragon's Den","49"
"Train","Tegan","F","28","Levine","216.76363","paid","Portland-South Portland, ME","910","Hey_ Soul Sister","80"
"The Velvet Underground","Chloe","F","42","Cuevas","202.762","paid","San Francisco-Oakland-Hayward, CA","849","Train Round The Bend (LP Version)","49"
"The White Stripes","Chloe","F","43","Cuevas","241.8673","paid","San Francisco-Oakland-Hayward, CA","849","My Doorbell (Album Version)","49"
"Little Boots","Chloe","F","44","Cuevas","225.20118","paid","San Francisco-Oakland-Hayward, CA","849","Hearts Collide (album version)","49"
"Flora Purim","Chloe","F","45","Cuevas","306.99057","paid","San Francisco-Oakland-Hayward, CA","849","Less Than Lovers","49"
"Sheena Easton","Chloe","F","46","Cuevas","239.62077","paid","San Francisco-Oakland-Hayward, CA","849","Strut (1993 Digital Remaster)","49"
"Story Of The Year","Chloe","F","47","Cuevas","232.46322","paid","San Francisco-Oakland-Hayward, CA","849","The Dream Is Over","49"
"Friendly Fires","Chloe","F","48","Cuevas","217.02485","paid","San Francisco-Oakland-Hayward, CA","849","Jump In The Pool","49"
"Papas Da LÃÂ­ngua","Chloe","F","49","Cuevas","222.17098","paid","San Francisco-Oakland-Hayward, CA","849","Pequeno Grande Amor","49"
"The Killers","Chloe","F","50","Cuevas","253.70077","paid","San Francisco-Oakland-Hayward, CA","849","Losing Touch","49"
"KMC Featuring Beenie Man","Aiden","M","0","Hess","264.80281","free","La Crosse-Onalaska, WI-MN","906","Soul On Fire (Drum Majorz Club Remix) (Feat. Beenie Man)","86"
"Dangerdoom","Chloe","F","51","Cuevas","146.85995","paid","San Francisco-Oakland-Hayward, CA","849","Crosshairs","49"
"The Avett Brothers","Chloe","F","52","Cuevas","244.61016","paid","San Francisco-Oakland-Hayward, CA","849","A Gift For Melody Anne","49"
"Dave Attell","Aiden","M","1","Hess","66.55955","free","La Crosse-Onalaska, WI-MN","906","Fireworks (LP Version)","86"
"Robert Johnson","Aiden","M","2","Hess","154.09587","free","La Crosse-Onalaska, WI-MN","906","I?'m A Steady Rollin? Man","86"
"Homesick James","Chloe","F","53","Cuevas","199.65342","paid","San Francisco-Oakland-Hayward, CA","849","Working With Homesick","49"
"Mc Chris","Aiden","M","3","Hess","149.99465","free","La Crosse-Onalaska, WI-MN","906","Nrrrd Grrrl","86"
"Jack's Mannequin","Chloe","F","54","Cuevas","223.21587","paid","San Francisco-Oakland-Hayward, CA","849","American Love (Album Version)","49"
"Aqua","Aiden","M","4","Hess","218.48771","free","La Crosse-Onalaska, WI-MN","906","Cartoon Heroes","86"
"Metric","Aiden","M","5","Hess","252.99546","free","La Crosse-Onalaska, WI-MN","906","Stadium Love","86"
"Enrique Iglesias","Stefany","F","0","White","208.5873","free","Lubbock, TX","867","Escape","83"
"Motion City Soundtrack","Stefany","F","1","White","205.26975","free","Lubbock, TX","867","Fell In Love Without You (Acoustic)","83"
"Ticanaf","Stefany","F","2","White","2594.87302","free","Lubbock, TX","867","The Thousand Names of Lord Shiva (Part 1)","83"
"The Far East Movement","Ryan","M","0","Smith","228.20526","free","San Jose-Sunnyvale-Santa Clara, CA","899","Dance Like Michael Jackson","26"
"the bird and the bee","Ryan","M","1","Smith","189.51791","free","San Jose-Sunnyvale-Santa Clara, CA","899","You're A Cad","26"
"Shakira","Christian","F","0","Porter","193.82812","free","Elkhart-Goshen, IN","366","Inevitable","11"
"Des'ree","Kaylee","F","1","Summers","246.30812","free","Phoenix-Mesa-Scottsdale, AZ","139","You Gotta Be","8"
"Mr Oizo","Kaylee","F","3","Summers","144.03873","free","Phoenix-Mesa-Scottsdale, AZ","139","Flat 55","8"
"Tamba Trio","Kaylee","F","4","Summers","177.18812","free","Phoenix-Mesa-Scottsdale, AZ","139","Quem Quiser Encontrar O Amor","8"
"The Mars Volta","Kaylee","F","5","Summers","380.42077","free","Phoenix-Mesa-Scottsdale, AZ","139","Eriatarka","8"
"Infected Mushroom","Kaylee","F","6","Summers","440.2673","free","Phoenix-Mesa-Scottsdale, AZ","139","Becoming Insane","8"
"Blue October / Imogen Heap","Kaylee","F","7","Summers","241.3971","free","Phoenix-Mesa-Scottsdale, AZ","139","Congratulations","8"
"Girl Talk","Kaylee","F","8","Summers","160.15628","free","Phoenix-Mesa-Scottsdale, AZ","139","Once again","8"
"Black Eyed Peas","Sylvie","F","0","Cruz","214.93506","free","Washington-Arlington-Alexandria, DC-VA-MD-WV","9","Pump It","10"
"Fall Out Boy","Ryan","M","1","Smith","200.72444","free","San Jose-Sunnyvale-Santa Clara, CA","169","Nobody Puts Baby In The Corner","26"
"M.I.A.","Ryan","M","2","Smith","233.7171","free","San Jose-Sunnyvale-Santa Clara, CA","169","Mango Pickle Down River (With The Wilcannia Mob)","26"
"Survivor","Jayden","M","0","Fox","245.36771","free","New Orleans-Metairie, LA","100","Eye Of The Tiger","101"
"N.E.R.D. FEATURING MALICE","Jayden","M","0","Fox","288.9922","free","New Orleans-Metairie, LA","184","Am I High (Feat. Malice)","101"
"Death Cab for Cutie","Stefany","F","1","White","216.42404","free","Lubbock, TX","82","A Lack Of Color (Album Version)","83"
"Tracy Gang Pussy","Stefany","F","2","White","221.33506","free","Lubbock, TX","82","I Have A Wish","83"
"Skillet","Kevin","M","0","Arellano","178.02404","free","Harrisburg-Carlisle, PA","153","Monster (Album Version)","66"
"Dance Gavin Dance","Marina","F","0","Sutton","218.46159","free","Salinas, CA","47","Uneasy Hearts Weigh The Most","48"
"Dalto","Aiden","M","1","Hess","190.40608","free","La Crosse-Onalaska, WI-MN","170","Falta Te Dizer","86"
"Kanye West","Makinley","F","0","Jones","278.88281","free","Chicago-Naperville-Elgin, IL-IN-WI","118","Family Business","17"
"Jason Mraz & Colbie Caillat","Kevin","M","0","Arellano","189.6224","free","Harrisburg-Carlisle, PA","187","Lucky (Album Version)","66"
"Liz Callaway","Lily","F","0","Koch","175.43791","paid","Chicago-Naperville-Elgin, IL-IN-WI","172","Journey To The Past  (LP Version)","15"
"The Decemberists","Lily","F","1","Koch","242.59873","paid","Chicago-Naperville-Elgin, IL-IN-WI","172","Everything I Try to Do_ Nothing Seems to Turn Out Right","15"
"Christina Aguilera","Lily","F","2","Koch","254.48444","paid","Chicago-Naperville-Elgin, IL-IN-WI","172","Impossible","15"
"OneRepublic","Lily","F","3","Koch","224.67873","paid","Chicago-Naperville-Elgin, IL-IN-WI","172","Secrets","15"
"Cat Stevens","Kynnedi","F","1","Sanchez","200.202","free","Cedar Rapids, IA","88","Wild World","89"
"Brett Dennen","Lily","F","4","Koch","179.66975","paid","Chicago-Naperville-Elgin, IL-IN-WI","172","World Keeps Turning","15"
"Godsmack","Lily","F","5","Koch","208.24771","paid","Chicago-Naperville-Elgin, IL-IN-WI","172","Greed","15"
"Anis","Lily","F","6","Koch","246.59546","paid","Chicago-Naperville-Elgin, IL-IN-WI","172","Swing Javanaise","15"
"Tiziano Ferro","Lily","F","7","Koch","251.42812","paid","Chicago-Naperville-Elgin, IL-IN-WI","172","Ed Ero Contentissimo","15"
"Kylie Auldist","Lily","F","8","Koch","265.92608","paid","Chicago-Naperville-Elgin, IL-IN-WI","172","Ship Inside A Bottle","15"
"Benga","Lily","F","9","Koch","286.17098","paid","Chicago-Naperville-Elgin, IL-IN-WI","172","The Cut","15"
"T. Rex","Lily","F","10","Koch","132.85832","paid","Chicago-Naperville-Elgin, IL-IN-WI","172","Ride A White Swan","15"
"Mexican Institute of Sound","Lily","F","11","Koch","278.04689","paid","Chicago-Naperville-Elgin, IL-IN-WI","172","Mirando a Las Muchachas","15"
"Velour 100","Lily","F","12","Koch","202.29179","paid","Chicago-Naperville-Elgin, IL-IN-WI","172","Clouds (Of Color Bright Album Version)","15"
"Maria de Barros","Lily","F","13","Koch","276.29669","paid","Chicago-Naperville-Elgin, IL-IN-WI","172","Riberonzinha","15"
"Toby Keith","Lily","F","14","Koch","177.162","paid","Chicago-Naperville-Elgin, IL-IN-WI","172","Big Blue Note","15"
"Marques Houston","Lily","F","15","Koch","264.98567","paid","Chicago-Naperville-Elgin, IL-IN-WI","172","Naked","15"
"Commit Suicide","Lily","F","16","Koch","105.482","paid","Chicago-Naperville-Elgin, IL-IN-WI","172","In All This Revelation","15"
"Smile Empty Soul","Lily","F","17","Koch","218.61832","paid","Chicago-Naperville-Elgin, IL-IN-WI","172","Bottom of a Bottle (Explicit Album Version)","15"
"Amy Winehouse","Lily","F","18","Koch","221.1522","paid","Chicago-Naperville-Elgin, IL-IN-WI","172","Wake Up Alone","15"
"Eyehategod","Lily","F","19","Koch","155.66322","paid","Chicago-Naperville-Elgin, IL-IN-WI","172","Sisterfucker (part Ii)","15"
"Sunidhi Chauhan / Anu Malik / Jatin Sharma","Lily","F","20","Koch","319.32036","paid","Chicago-Naperville-Elgin, IL-IN-WI","172","Dekh Le","15"
"Blondie","Lily","F","21","Koch","127.73832","paid","Chicago-Naperville-Elgin, IL-IN-WI","172","Little Girl Lies (2001 Digital Remaster)","15"
"She & Him","Lily","F","23","Koch","167.83628","paid","Chicago-Naperville-Elgin, IL-IN-WI","172","Got Me","15"
"The Black Keys","Lily","F","24","Koch","294.76526","paid","Chicago-Naperville-Elgin, IL-IN-WI","172","The Lengths","15"
"Survivor","Lily","F","25","Koch","245.36771","paid","Chicago-Naperville-Elgin, IL-IN-WI","172","Eye Of The Tiger","15"
"Conya Doss","Lily","F","26","Koch","317.98812","paid","Chicago-Naperville-Elgin, IL-IN-WI","172","I Miss You","15"
"Disney Studio Chorus","Lily","F","28","Koch","234.84036","paid","Chicago-Naperville-Elgin, IL-IN-WI","172","Little April Shower","15"
"Dirty Projectors","Lily","F","29","Koch","319.63383","paid","Chicago-Naperville-Elgin, IL-IN-WI","172","Stillness Is The Move","15"
"Boom Bip","Lily","F","30","Koch","330.16118","paid","Chicago-Naperville-Elgin, IL-IN-WI","172","From Left To Right","15"
"Avantasia","Lily","F","31","Koch","368.97914","paid","Chicago-Naperville-Elgin, IL-IN-WI","172","Shelter From The Rain","15"
"Amon Amarth","Lily","F","32","Koch","312.29342","paid","Chicago-Naperville-Elgin, IL-IN-WI","172","North Sea Storm (Live)","15"
"Young Money featuring Lloyd","Lily","F","33","Koch","196.33587","paid","Chicago-Naperville-Elgin, IL-IN-WI","172","BedRock (Radio Edit) (feat.Lloyd)","15"
"Breakbeat Era","Lily","F","34","Koch","326.32118","paid","Chicago-Naperville-Elgin, IL-IN-WI","172","Anti-Everything","15"
"Local Natives","Lily","F","35","Koch","237.92281","paid","Chicago-Naperville-Elgin, IL-IN-WI","172","Airplanes","15"
"Gabriella Cilmi","Lily","F","36","Koch","207.38567","paid","Chicago-Naperville-Elgin, IL-IN-WI","172","Awkward Game","15"
"Minus The Bear","Tegan","F","1","Levine","219.76771","free","Portland-South Portland, ME","165","Knights","80"
"Calle 13 Featuring CafÃÂ© Tacuba","Lily","F","37","Koch","293.32853","paid","Chicago-Naperville-Elgin, IL-IN-WI","172","No Hay Nadie Como TÃÂº","15"
"Frumpies","Aleena","F","0","Kirby","134.47791","paid","Waterloo-Cedar Falls, IA","157","Fuck Kitty","44"
"D-12","Aleena","F","1","Kirby","261.40689","paid","Waterloo-Cedar Falls, IA","157","Barbershop","44"
"Emil Gilels/Orchestre de la SociÃÂ©tÃÂ© des Concerts du Conservatoire/AndrÃÂ© Cluytens","Tegan","F","2","Levine","375.19628","free","Portland-South Portland, ME","165","Piano Concerto No. 2 in G minor Op. 22 (2006 Digital Remaster): III.  Presto","80"
"Dragonette","Lily","F","38","Koch","246.49098","paid","Chicago-Naperville-Elgin, IL-IN-WI","172","Fixin to Thrill","15"
"Pennywise","Mohammad","M","0","Rodriguez","188.26404","free","Sacramento--Roseville--Arden-Arcade, CA","87","The Western World","88"
"Kanye West","Aleena","F","2","Kirby","238.52363","paid","Waterloo-Cedar Falls, IA","157","Flashing Lights","44"
"Flash And The Pan","Lily","F","39","Koch","224.65261","paid","Chicago-Naperville-Elgin, IL-IN-WI","172","Waiting for a Train [Single Mix]","15"
"Washed Out","Tegan","F","3","Levine","168.6722","free","Portland-South Portland, ME","165","New Theory","80"
"Katy Perry","Aleena","F","3","Kirby","179.40853","paid","Waterloo-Cedar Falls, IA","157","I Kissed A Girl","44"
"AFI","Lily","F","40","Koch","198.97424","paid","Chicago-Naperville-Elgin, IL-IN-WI","172","Miss Murder","15"
"Drake / Kanye West / Lil Wayne / Eminem","Aleena","F","4","Kirby","357.66812","paid","Waterloo-Cedar Falls, IA","157","Forever","44"
"The Crests","Lily","F","41","Koch","182.88281","paid","Chicago-Naperville-Elgin, IL-IN-WI","172","16 Candles","15"
"Nirvana","Lily","F","42","Koch","219.08853","paid","Chicago-Naperville-Elgin, IL-IN-WI","172","Come As You Are","15"
"Knights Of The Abyss","Aleena","F","5","Kirby","205.66159","paid","Waterloo-Cedar Falls, IA","157","Dragon Pie","44"
"Binary Star","Lily","F","43","Koch","300.19873","paid","Chicago-Naperville-Elgin, IL-IN-WI","172","Honest Expression","15"
"Nada Surf","Aleena","F","6","Kirby","181.08036","paid","Waterloo-Cedar Falls, IA","157","Whose Authority","44"
"Blank & Jones","Aleena","F","7","Kirby","310.15138","paid","Waterloo-Cedar Falls, IA","157","Beyond Time (Ambient Mix)","44"
"Carnifex","Lily","F","44","Koch","219.89832","paid","Chicago-Naperville-Elgin, IL-IN-WI","172","By Darkness Enslaved","15"
"Bono / Secret Machines","Lily","F","45","Koch","285.43955","paid","Chicago-Naperville-Elgin, IL-IN-WI","172","I Am The Walrus","15"
"Broadcast 2000","Aleena","F","8","Kirby","198.84363","paid","Waterloo-Cedar Falls, IA","157","The View","44"
"Pixies","Aleena","F","9","Kirby","229.3024","paid","Waterloo-Cedar Falls, IA","157","Where Is My Mind?","44"
"Kings Of Leon","Lily","F","46","Koch","242.99057","paid","Chicago-Naperville-Elgin, IL-IN-WI","172","Holy Roller Novocaine","15"
"Arctic Monkeys","Aleena","F","10","Kirby","221.85751","paid","Waterloo-Cedar Falls, IA","157","You Know I'm No Good","44"
"Alliance Ethnik","Lily","F","47","Koch","252.21179","paid","Chicago-Naperville-Elgin, IL-IN-WI","172","ReprÃÂ©sente","15"
"Apocalyptica","Chloe","F","0","Cuevas","409.86077","free","San Francisco-Oakland-Hayward, CA","179","Coma","49"
"Big Tymers","Aleena","F","11","Kirby","256.15628","paid","Waterloo-Cedar Falls, IA","157","Lil Mama","44"
"Pat Green","Lily","F","48","Koch","295.33995","paid","Chicago-Naperville-Elgin, IL-IN-WI","172","Whiskey","15"
"Daughtry","Aleena","F","12","Kirby","249.91302","paid","Waterloo-Cedar Falls, IA","157","No Surprise","44"
"Air","Chloe","F","1","Cuevas","212.21832","free","San Francisco-Oakland-Hayward, CA","179","Playground Love","49"
"Sam Cooke","Lily","F","49","Koch","122.04363","paid","Chicago-Naperville-Elgin, IL-IN-WI","172","Ain't Misbehavin","15"
"Live","Aleena","F","13","Kirby","203.28444","paid","Waterloo-Cedar Falls, IA","157","Deep Enough","44"
"Everclear","Lily","F","50","Koch","222.61506","paid","Chicago-Naperville-Elgin, IL-IN-WI","172","Summerland","15"
"Alison Krauss / Union Station","Aleena","F","14","Kirby","129.67138","paid","Waterloo-Cedar Falls, IA","157","Down To The River To Pray","44"
"The All-American Rejects","Lily","F","51","Koch","239.22893","paid","Chicago-Naperville-Elgin, IL-IN-WI","172","Move Along","15"
"Covenant","Aleena","F","15","Kirby","300.19873","paid","Waterloo-Cedar Falls, IA","157","XRDS","44"
"You Me At Six","Aiden","M","0","Hess","191.13751","free","La Crosse-Onalaska, WI-MN","189","Liquid Confidence","86"
"Motion City Soundtrack","Lily","F","52","Koch","206.34077","paid","Chicago-Naperville-Elgin, IL-IN-WI","172","Everything Is Alright (Album Version)","15"
"FM Static","Lily","F","53","Koch","169.84771","paid","Chicago-Naperville-Elgin, IL-IN-WI","172","Something To Believe In","15"
"Dave Gahan","Lily","F","54","Koch","272.92689","paid","Chicago-Naperville-Elgin, IL-IN-WI","172","Kingdom","15"
"Metallica","Lily","F","55","Koch","319.73832","paid","Chicago-Naperville-Elgin, IL-IN-WI","172","Mama Said","15"
"Dr. Hook","Lily","F","56","Koch","229.77261","paid","Chicago-Naperville-Elgin, IL-IN-WI","172","Sylvia's Mother","15"
"Gotan Project","Lily","F","57","Koch","321.30567","paid","Chicago-Naperville-Elgin, IL-IN-WI","172","Diferente","15"
"Carrie Underwood","Lily","F","58","Koch","221.3873","paid","Chicago-Naperville-Elgin, IL-IN-WI","172","Play On","15"
"Ut","Lily","F","59","Koch","313.86077","paid","Chicago-Naperville-Elgin, IL-IN-WI","172","I.D.","15"
"Lil Wayne / Eminem","Lily","F","60","Koch","229.58975","paid","Chicago-Naperville-Elgin, IL-IN-WI","172","Drop The World","15"
"Damage","Lily","F","61","Koch","263.18322","paid","Chicago-Naperville-Elgin, IL-IN-WI","172","For Your Pleasure","15"
"Rionegro / SolimÃÂµes","Lily","F","62","Koch","280.92036","paid","Chicago-Naperville-Elgin, IL-IN-WI","172","De SÃÂ£o Paulo ÃÂ BelÃÂ©m","15"
"Drive-By Truckers","Lily","F","63","Koch","246.22975","paid","Chicago-Naperville-Elgin, IL-IN-WI","172","Outfit","15"
"Tweet","Lily","F","64","Koch","256.39138","paid","Chicago-Naperville-Elgin, IL-IN-WI","172","Smoking Cigarettes (LP Version)","15"
"Ben Folds Five","Lily","F","65","Koch","207.882","paid","Chicago-Naperville-Elgin, IL-IN-WI","172","Steven's Last Night In Town","15"
"Glen Hansard","Lily","F","66","Koch","239.59465","paid","Chicago-Naperville-Elgin, IL-IN-WI","172","Lies","15"
"Chevelle","Adler","M","0","Barrera","389.85098","free","New York-Newark-Jersey City, NY-NJ-PA","174","Dos (LP Version)","100"
"Bill Withers","Lily","F","67","Koch","383.73832","paid","Chicago-Naperville-Elgin, IL-IN-WI","172","Make Love To Your Mind","15"
"Jorge Drexler","Adler","M","1","Barrera","272.14322","free","New York-Newark-Jersey City, NY-NJ-PA","174","Salvapantallas","100"
"Michael Bolton","Lily","F","68","Koch","255.65995","paid","Chicago-Naperville-Elgin, IL-IN-WI","172","How Am I Supposed To Live Without You","15"
